param n := 23;

set E :=
(1, 2) (1, 3) (1, 4) (1, 5) (1, 6) (1, 7) (1, 8) (1, 9) (1, 10) (1, 11) (1, 12) (1, 13) (1, 14) (1, 15) (1, 16) (1, 17) (1, 18) (1, 19) (1, 20) (1, 21) (1, 22) (1, 23)
(2, 3) (2, 4) (2, 5) (2, 6) (2, 7) (2, 8) (2, 9) (2, 10) (2, 11) (2, 12) (2, 13) (2, 14) (2, 15) (2, 16) (2, 17) (2, 18) (2, 19) (2, 20) (2, 21) (2, 22) (2, 23)
(3, 4) (3, 5) (3, 6) (3, 7) (3, 8) (3, 9) (3, 10) (3, 11) (3, 12) (3, 13) (3, 14) (3, 15) (3, 16) (3, 17) (3, 18) (3, 19) (3, 20) (3, 21) (3, 22) (3, 23)
(4, 5) (4, 6) (4, 7) (4, 8) (4, 9) (4, 10) (4, 11) (4, 12) (4, 13) (4, 14) (4, 15) (4, 16) (4, 17) (4, 18) (4, 19) (4, 20) (4, 21) (4, 22) (4, 23)
(5, 6) (5, 7) (5, 8) (5, 9) (5, 10) (5, 11) (5, 12) (5, 13) (5, 14) (5, 15) (5, 16) (5, 17) (5, 18) (5, 19) (5, 20) (5, 21) (5, 22) (5, 23)
(6, 7) (6, 8) (6, 9) (6, 10) (6, 11) (6, 12) (6, 13) (6, 14) (6, 15) (6, 16) (6, 17) (6, 18) (6, 19) (6, 20) (6, 21) (6, 22) (6, 23)
(7, 8) (7, 9) (7, 10) (7, 11) (7, 12) (7, 13) (7, 14) (7, 15) (7, 16) (7, 17) (7, 18) (7, 19) (7, 20) (7, 21) (7, 22) (7, 23)
(8, 9) (8, 10) (8, 11) (8, 12) (8, 13) (8, 14) (8, 15) (8, 16) (8, 17) (8, 18) (8, 19) (8, 20) (8, 21) (8, 22) (8, 23)
(9, 10) (9, 11) (9, 12) (9, 13) (9, 14) (9, 15) (9, 16) (9, 17) (9, 18) (9, 19) (9, 20) (9, 21) (9, 22) (9, 23)
(10, 11) (10, 12) (10, 13) (10, 14) (10, 15) (10, 16) (10, 17) (10, 18) (10, 19) (10, 20) (10, 21) (10, 22) (10, 23)
(11, 12) (11, 13) (11, 14) (11, 15) (11, 16) (11, 17) (11, 18) (11, 19) (11, 20) (11, 21) (11, 22) (11, 23)
(12, 13) (12, 14) (12, 15) (12, 16) (12, 17) (12, 18) (12, 19) (12, 20) (12, 21) (12, 22) (12, 23)
(13, 14) (13, 15) (13, 16) (13, 17) (13, 18) (13, 19) (13, 20) (13, 21) (13, 22) (13, 23)
(14, 15) (14, 16) (14, 17) (14, 18) (14, 19) (14, 20) (14, 21) (14, 22) (14, 23)
(15, 16) (15, 17) (15, 18) (15, 19) (15, 20) (15, 21) (15, 22) (15, 23)
(16, 17) (16, 18) (16, 19) (16, 20) (16, 21) (16, 22) (16, 23)
(17, 18) (17, 19) (17, 20) (17, 21) (17, 22) (17, 23)
(18, 19) (18, 20) (18, 21) (18, 22) (18, 23)
(19, 20) (19, 21) (19, 22) (19, 23)
(20, 21) (20, 22) (20, 23)
(21, 22) (21, 23)
(22, 23)
;

param c :
      1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23 :=
 1    0 456 452 701 841 584 196 624 442 622 612 342 613 754 382 377 403  95 558 1555 444 774 362
 2  456   0 867 230 500 178 580 699 227 153 210 356 219 1005 347 270 519 413 102 1944 503 444 235
 3  452 867   0 1105 1251 1012 336 1007 842 1050 1040 560 1014 754 609 679 481 476 983 1023 498 1175 666
 4  701 230 1105   0 495 128 812 691 257  79 215 567 223 1024 568 480 729 645 180 2179 687 471 472
 5  841 500 1251 495   0 575 926 241 423 550 692 840 322 595 828 772 917 761 402 2256 981  54 740
 6  584 178 1012 128 575   0 710 774 338  74 128 450 306 1110 451 363 612 546 197 2080 562 551 356
 7  196 580 336 812 926 710   0 694 547 748 738 528 719 559 559 542 569 173 688 1407 632 879 510
 8  624 699 1007 691 241 774 694   0 599 777 921 833 520 352 855 844 874 556 607 2020 937 275 817
 9  442 227 842 257 423 338 547 599   0 311 455 399 172 908 383 367 497 366 141 1851 549 360 335
10  622 153 1050  79 550  74 748 777 311   0 162 487 281 1077 488 401 650 565 171 2096 608 525 394
11  612 210 1040 215 692 128 738 921 455 162   0 485 423 1146 483 399 619 584 314 2114 582 686 391
12  342 356 560 567 840 450 528 833 399 487 485   0 567 1085  52  86 160 431 462 1658 180 774 122
13  613 219 1014 223 322 306 719 520 172 281 423 567   0 853 570 490 676 538 121 2102 725 260 459
14  754 1005 754 1024 595 1110 559 352 908 1077 1146 1085 853 0 1130 1119 1147 655 919 1671 1211 628 1089
15  382 347 609 568 828 451 559 855 383 488 483  52 570 1130   0 107 210 458 455 1708 215 762 115
16  377 270 679 480 772 363 542 844 367 401 399  86 490 1119 107   0 275 447 374 1825 233 716  36
17  403 519 481 729 917 612 569 874 497 650 619 160 676 1147 210 275   0 481 606 1560  74 860 282
18   95 413 476 645 761 546 173 556 366 565 584 431 538 655 458 447 481   0 507 1552 532 698 409
19  558 102 983 180 402 197 688 607 141 171 314 462 121 919 455 374 606 507   0 2045 606 346 337
20 1555 1944 1023 2179 2256 2080 1407 2020 1851 2096 2114 1658 2102 1671 1708 1825 1560 1552 2045 0 1590 2185 1761
21  444 503 498 687 981 562 632 937 549 608 582 180 725 1211 215 233  74 532 606 1590   0 890 269
22  774 444 1175 471  54 551 879 275 360 525 686 774 260 628 762 716 860 698 346 2185 890   0 677
23  362 235 666 472 740 356 510 817 335 394 391 122 459 1089 115  36 282 409 337 1761 269 677   0
;
