1 4 3 100.00 
2 1 3 100.00 
3 2 3 100.00 
3 6 3 300.00 
3 7 3 100.00 
4 9 3 100.00 
5 10 3  50.00 
6 5 3 100.00 
6 14 3 200.00 
7 19 3 100.00 
9 8 3  50.00 
9 12 3  50.00 
10 13 3  50.00 
14 18 3 150.00 
18 17 3  50.00 
18 21 3  50.00 
19 24 3  50.00 
24 23 3  50.00 
6 5 11  50.00 
11 8 11  50.00 
11 12 11 300.00 
11 22 11 150.00 
12 13 11 250.00 
13 14 11 150.00 
13 17 11  50.00 
14 6 11  50.00 
14 18 11  50.00 
20 21 11  50.00 
22 20 11  50.00 
22 23 11 100.00 
23 24 11  50.00 
24 19 11  50.00 
